fold,stage,epoch,train_loss,val_loss,val_acc,val_macro_f1,val_healthy_recall,lr,secs
3,1,1,0.2766311867567508,0.03682163468733126,0.9877551020408163,0.975607766356665,1.0,0.001,12.7
3,1,2,0.058588156436124576,0.061612598546091656,0.9755102040816327,0.9468679570551818,1.0,0.001,12.0
3,1,3,0.052051609883125384,0.03179278880718867,0.9877551020408163,0.975607766356665,1.0,0.001,13.2
3,1,4,0.029810000231246584,0.014696119071877732,0.9959183673469387,0.9970759671431044,1.0,0.001,13.2
3,1,5,0.021227391698630527,0.06792227194023233,0.9795918367346939,0.9560364445131428,1.0,0.001,13.1
3,1,6,0.029858948769802024,0.05746017500237866,0.9795918367346939,0.9560364445131428,1.0,0.001,13.0
3,1,7,0.03245577787200328,0.013676941984009986,0.9959183673469387,0.9970759671431044,1.0,0.001,12.9
3,1,8,0.02759695071670095,0.03322633148874251,0.9877551020408163,0.9831709956709958,1.0,0.001,12.1
3,1,9,0.011741375037672697,0.03644704499248681,0.9877551020408163,0.975607766356665,1.0,0.001,11.8
3,1,10,0.013849681807345327,0.006843091605459245,0.9959183673469387,0.9970759671431044,1.0,0.001,13.0
3,2,1,0.10669828929088038,0.0011784181968137926,1.0,1.0,1.0,0.0001,13.4
3,2,2,0.057177473350590015,0.0023154663581909534,1.0,1.0,1.0,0.0001,13.3
3,2,3,0.052977016262720215,0.0042121544407861195,1.0,1.0,1.0,0.0001,13.5
3,2,4,0.02745276325605,0.002714370175298037,1.0,1.0,1.0,0.0001,13.4
3,2,5,0.03730496210640843,0.0023292841826926688,1.0,1.0,1.0,0.0001,12.8
