fold,test_loss,test_acc,test_macro_f1,test_healthy_recall,best_ep_s1,best_val_s1,best_ep_s2,best_val_s2,n_train,n_eval
0,0.04593998132521039,0.9813519813519813,0.9819873984051212,1.0,6,0.015719719416636035,1,0.010212373420050958,1477,429
1,0.004370958764748475,1.0,1.0,1.0,9,0.02406698980224811,14,0.003920250413257901,1474,432
2,0.009890806856900108,0.9976798143851509,0.9937042639303382,0.967741935483871,3,0.05621370951436004,14,0.006083120177594983,1476,431
3,0.00752428891353829,0.9953488372093023,0.9875764680518501,1.0,8,0.015530628040052799,14,0.0011044506595365474,1477,430
4,0.01772514579622725,0.9953488372093023,0.9966665833312499,1.0,5,0.02035862100975854,1,0.013328550533600608,1477,430
