fold,stage,epoch,train_loss,val_loss,val_acc,val_macro_f1,val_healthy_recall,lr,secs
0,1,1,0.1943906380025589,0.057318799379395276,0.9715447154471545,0.9640109253375836,0.8947368421052632,0.001,23.3
0,1,2,0.06649055278293141,0.02713122446567002,0.991869918699187,0.9803834808259587,1.0,0.001,12.1
0,1,3,0.05802777519895007,0.06933393276758432,0.9796747967479674,0.9537664685229604,1.0,0.001,14.4
0,1,4,0.04840455149204227,0.03629049025589555,0.983739837398374,0.9745091896407686,1.0,0.001,13.3
0,1,5,0.055556381431296875,0.04290485251846352,0.9796747967479674,0.9715710080221408,1.0,0.001,13.1
0,1,6,0.0706406575399856,0.015719719416636035,0.9959349593495935,0.9899845626717872,1.0,0.001,13.0
0,1,7,0.034513645539687866,0.03196209342203792,0.983739837398374,0.9550371872887086,0.7894736842105263,0.001,11.9
0,1,8,0.051214009984110104,0.16040772774336742,0.9349593495934959,0.9390985324947589,1.0,0.001,12.4
0,1,9,0.0392021732762299,0.0995150172431779,0.959349593495935,0.94676847908113,0.8421052631578947,0.001,13.2
0,1,10,0.022424579842782292,0.045985277411830804,0.9878048780487805,0.9774465655082395,1.0,0.001,13.1
0,2,1,0.10262286476790905,0.010212373420050958,0.9959349593495935,0.9899845626717872,1.0,0.0001,14.9
0,2,2,0.06070187344701718,0.01387439306249948,0.9959349593495935,0.9899845626717872,1.0,0.0001,13.5
0,2,3,0.04641631448454143,0.013859634185437023,0.991869918699187,0.97953216374269,0.9473684210526315,0.0001,13.5
0,2,4,0.042121498939156045,0.016521164452717677,0.991869918699187,0.97953216374269,0.9473684210526315,0.0001,13.7
0,2,5,0.041185005598337106,0.018901965649026197,0.991869918699187,0.97953216374269,0.9473684210526315,0.0001,14.0
