fold,stage,epoch,train_loss,val_loss,val_acc,val_macro_f1,val_healthy_recall,lr,secs
2,1,1,0.2011342876104881,0.1348522416449019,0.9551020408163265,0.9263414939371786,1.0,0.001,16.3
2,1,2,0.03856289150375549,0.1333940189559849,0.9551020408163265,0.9521800144650626,1.0,0.001,13.5
2,1,3,0.02946872466608234,0.043139894363679446,0.9877551020408163,0.9685285285285286,1.0,0.001,13.4
2,1,4,0.037573034697308445,0.08099941027027611,0.9714285714285714,0.938121576064054,1.0,0.001,11.8
2,1,5,0.048089288271275225,0.08761984681572803,0.9673469387755103,0.9489686589010633,0.8235294117647058,0.001,12.1
2,1,6,0.03950597724938036,0.04975425753153252,0.9795918367346939,0.9767935331240052,0.9411764705882353,0.001,13.2
2,1,7,0.023833252390866855,0.05210610391401058,0.9836734693877551,0.9802346445824707,1.0,0.001,13.1
2,2,1,0.0856576457457698,0.059112553334585864,0.9795918367346939,0.9560627231796305,1.0,0.0001,13.6
2,2,2,0.06470946648725025,0.039258892842739514,0.9836734693877551,0.9656045519203413,1.0,0.0001,13.4
2,2,3,0.04890340289262974,0.029172053457979037,0.9877551020408163,0.9831595257417417,1.0,0.0001,13.4
2,2,4,0.04243636317551136,0.03822663557924787,0.9877551020408163,0.9831595257417417,1.0,0.0001,12.6
2,2,5,0.04763392285626058,0.031178512142933146,0.9877551020408163,0.9831331953071084,1.0,0.0001,12.3
2,2,6,0.03538409967744804,0.03585300672115112,0.9836734693877551,0.9802346445824707,1.0,0.0001,13.0
2,2,7,0.03712814732748286,0.025263808804507158,0.9918367346938776,0.9860837850867993,1.0,0.0001,13.4
2,2,8,0.016978674405001348,0.023203355058723566,0.9918367346938776,0.9860837850867993,1.0,0.0001,13.5
2,2,9,0.03178468246377357,0.02400749602488109,0.9918367346938776,0.9860837850867993,1.0,0.0001,13.4
2,2,10,0.018686295814721077,0.021330395082429964,0.9918367346938776,0.977468180254558,0.9411764705882353,0.0001,13.5
2,2,11,0.02540494207262426,0.02473647479652142,0.9959183673469387,0.9890077616949863,1.0,0.0001,13.2
2,2,12,0.01584918540333013,0.026496971649478892,0.9877551020408163,0.9745569158544667,0.9411764705882353,0.0001,12.4
2,2,13,0.017585747557029168,0.014539160678277211,0.9959183673469387,0.9890077616949863,1.0,0.0001,12.2
2,2,14,0.009412986562339305,0.010452472897512572,0.9959183673469387,0.9890077616949863,1.0,0.0001,13.3
2,2,15,0.01416983513500663,0.0116457071459415,0.9959183673469387,0.9890077616949863,1.0,0.0001,13.5
