fold,test_loss,test_acc,test_macro_f1,test_healthy_recall,best_ep_s1,best_val_s1,best_ep_s2,best_val_s2,n_train,n_eval
0,0.0267902007880067,0.9836829836829836,0.9701109440538862,0.9666666666666668,6,0.004616123593859,1,0.0067076382546201,1477,429
1,0.012844516347050321,0.9907407407407407,0.9804340456679458,1.0,10,0.014054651587928941,5,0.013471221782236807,1474,432
2,0.010229093465616974,0.9953596287703016,0.9872305140961858,0.9354838709677419,3,0.043139894363679446,14,0.010452472897512572,1476,431
3,0.018196906184108907,0.9930232558139535,0.9816165203628837,1.0,10,0.006843091605459245,1,0.0011784181968137926,1477,430
4,0.02284330852589635,0.9883720930232558,0.9825721441635746,1.0,5,0.019276096458945957,3,0.019146267081401786,1477,430
