fold,stage,epoch,train_loss,val_loss,val_acc,val_macro_f1,val_healthy_recall,lr,secs
2,1,1,0.21085848803024576,0.10714814713870993,0.9673469387755103,0.9472492106173555,1.0,0.001,17.0
2,1,2,0.048361364579962,0.11299323679841294,0.9591836734693877,0.9540352988776576,0.9411764705882353,0.001,14.2
2,1,3,0.056332994758596884,0.05621370951436004,0.9755102040816327,0.9530995869507346,1.0,0.001,13.6
2,1,4,0.04151522092338975,0.07667939347994267,0.9755102040816327,0.9469076973501752,1.0,0.001,14.2
2,1,5,0.045060584894837004,0.20098401551367714,0.9306122448979591,0.9122712650951854,0.7647058823529411,0.001,13.9
2,1,6,0.07959918502171565,0.07613644486587799,0.9795918367346939,0.955982835071504,1.0,0.001,13.8
2,1,7,0.049549920527130344,0.06982957914623679,0.9714285714285714,0.9518604765173055,0.8235294117647058,0.001,13.7
2,2,1,0.08936243749264142,0.0542966859757292,0.9795918367346939,0.969733823250358,1.0,0.0001,14.1
2,2,2,0.06814738344806044,0.03759588252144809,0.9836734693877551,0.9726709087942568,1.0,0.0001,13.3
2,2,3,0.04752480110113064,0.03927226720035684,0.9877551020408163,0.9912265512265512,1.0,0.0001,13.5
2,2,4,0.04490882348087009,0.03430034791746614,0.9836734693877551,0.9726836757577325,1.0,0.0001,13.2
2,2,5,0.0470321473397274,0.02374201259594791,0.9918367346938776,0.9860837850867993,1.0,0.0001,12.2
2,2,6,0.03400712725503937,0.03372512112694735,0.9795918367346939,0.96975901665858,1.0,0.0001,12.4
2,2,7,0.03916434155088728,0.01691995200758078,0.9918367346938776,0.9860837850867993,1.0,0.0001,13.1
2,2,8,0.019313803742356275,0.016687691090058306,0.9959183673469387,0.9890077616949863,1.0,0.0001,13.4
2,2,9,0.03291940565838519,0.015521923764323702,0.9959183673469387,0.9890077616949863,1.0,0.0001,13.3
2,2,10,0.018328468899910702,0.011639757180700497,0.9959183673469387,0.9890077616949863,1.0,0.0001,13.6
2,2,11,0.021997603124675705,0.014403432098274329,0.9959183673469387,0.9890077616949863,1.0,0.0001,13.4
2,2,12,0.018433645540979975,0.012146876778985773,0.9959183673469387,0.9884433858232985,0.9411764705882353,0.0001,13.1
2,2,13,0.018253942981929235,0.01085507180161622,0.9959183673469387,0.9890077616949863,1.0,0.0001,13.8
2,2,14,0.010869126389835677,0.006083120177594983,1.0,1.0,1.0,0.0001,13.6
2,2,15,0.016133774228206756,0.00891223530171021,0.9959183673469387,0.9890077616949863,1.0,0.0001,13.1
