fold,stage,epoch,train_loss,val_loss,val_acc,val_macro_f1,val_healthy_recall,lr,secs
1,1,1,0.22188451161365147,0.07573055259398813,0.9634146341463414,0.944244358688541,1.0,0.001,11.9
1,1,2,0.05706099926939477,0.09123268302499764,0.959349593495935,0.9185689448847344,1.0,0.001,12.5
1,1,3,0.045201365451287966,0.1776514617892785,0.9349593495934959,0.8717793931117939,1.0,0.001,13.1
1,1,4,0.07249914093763041,0.04913864858312214,0.975609756097561,0.9597566032237749,1.0,0.001,13.3
1,1,5,0.022356545457074863,0.028705698362271475,0.9878048780487805,0.9756205910621777,1.0,0.001,13.3
1,1,6,0.04662715363757224,0.065859262416957,0.9715447154471545,0.9568840394283838,1.0,0.001,14.6
1,1,7,0.028101240609944594,0.15989481100464256,0.943089430894309,0.8885594351721752,1.0,0.001,13.1
1,1,8,0.041751223378409835,0.037611223628547616,0.9796747967479674,0.9768462090616369,0.9411764705882353,0.001,13.0
1,1,9,0.010024464158841116,0.02171845085979477,0.991869918699187,0.977468180254558,0.9411764705882353,0.001,12.2
1,1,10,0.024965074053793418,0.014054651587928941,0.991869918699187,0.9941765842742346,1.0,0.001,12.2
1,2,1,0.07103822802436417,0.037582618970309414,0.975609756097561,0.9596721184704018,1.0,0.0001,13.5
1,2,2,0.05206876454378843,0.030659012456660677,0.983739837398374,0.9655775905775905,1.0,0.0001,13.5
1,2,3,0.04584802166083018,0.01832374379585868,0.991869918699187,0.9785316289741068,1.0,0.0001,13.6
1,2,4,0.04268754328444155,0.015154799656579045,0.991869918699187,0.986096609792312,1.0,0.0001,13.6
1,2,5,0.030690666565256517,0.013471221782236807,0.9959349593495935,0.9970887918486172,1.0,0.0001,13.4
1,2,6,0.023770622444989505,0.01365624082831257,0.9959349593495935,0.9890077616949863,1.0,0.0001,13.4
1,2,7,0.023676648621482815,0.02265460768665331,0.991869918699187,0.9785316289741068,1.0,0.0001,13.0
1,2,8,0.02522209973476888,0.01850461137833119,0.991869918699187,0.9785316289741068,1.0,0.0001,12.7
1,2,9,0.025919343549226734,0.033945982397214046,0.983739837398374,0.9655775905775905,1.0,0.0001,12.5
