fold,stage,epoch,train_loss,val_loss,val_acc,val_macro_f1,val_healthy_recall,lr,secs
4,1,1,0.18983025767880937,0.12939409762620926,0.9551020408163265,0.9402790218284887,0.8235294117647058,0.001,13.1
4,1,2,0.07402308058985711,0.05296575609518557,0.9877551020408163,0.9912265512265512,1.0,0.001,13.1
4,1,3,0.03295740005863911,0.02216701329666741,0.9918367346938776,0.9860707338931244,1.0,0.001,13.0
4,1,4,0.027026963444254565,0.03920439259738338,0.9877551020408163,0.9634129311548666,0.8235294117647058,0.001,12.7
4,1,5,0.02250578844493999,0.019276096458945957,0.9959183673469387,0.9890077616949863,1.0,0.001,12.5
4,1,6,0.028005025966748413,0.07348786684475384,0.9755102040816327,0.9658190862551917,0.9411764705882353,0.001,11.6
4,1,7,0.02338150982905063,0.040556786148523795,0.9795918367346939,0.9687327052032936,0.9411764705882353,0.001,12.6
4,1,8,0.023141769270612556,0.041017334984273325,0.9877551020408163,0.982620133062611,0.9411764705882353,0.001,12.9
4,1,9,0.008942971846211192,0.030082226106516865,0.9877551020408163,0.9826082010637286,0.9411764705882353,0.001,13.0
4,2,1,0.10628868068527916,0.025054474524459896,0.9918367346938776,0.9860707338931244,1.0,0.0001,13.1
4,2,2,0.0807604372460881,0.02004499690113019,0.9877551020408163,0.9831595257417417,1.0,0.0001,13.3
4,2,3,0.04642817887234623,0.019146267081401786,0.9918367346938776,0.9941520467836257,1.0,0.0001,13.4
4,2,4,0.043448154396964644,0.025048762643519712,0.9918367346938776,0.9941520467836257,1.0,0.0001,12.1
4,2,5,0.04018108290873225,0.02143542009348772,0.9959183673469387,0.9970759671431044,1.0,0.0001,12.1
4,2,6,0.022331247631328828,0.02350041814604584,0.9918367346938776,0.9855194092151113,0.9411764705882353,0.0001,13.2
4,2,7,0.034701567044501884,0.02446002715400287,0.9918367346938776,0.9855194092151113,0.9411764705882353,0.0001,13.3
